Date : 2023-10-19 11:07:50
Directory : /Users/imogen/Desktop/herdtools7
Total : 1604 files,  150632 codes, 24957 comments, 24104 blanks, all 199693 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/imogen/Desktop/herdtools7/asllib/gparser0.ml                                            | OCaml           |        133 |         41 |         16 |        190 |
| /Users/imogen/Desktop/herdtools7/asllib/index.html                                             | HTML            |         18 |          0 |          2 |         20 |
| /Users/imogen/Desktop/herdtools7/asllib/instrumentation.ml                                     | OCaml           |        655 |         33 |         40 |        728 |
| /Users/imogen/Desktop/herdtools7/asllib/lexer0.ml                                              | OCaml           |         71 |         23 |         12 |        106 |
| /Users/imogen/Desktop/herdtools7/asllib/repeatableLexer.ml                                     | OCaml           |         32 |          0 |          8 |         40 |
| /Users/imogen/Desktop/herdtools7/asllib/splitasl.mli                                           | OCaml Interface |          1 |         16 |          3 |         20 |
| /Users/imogen/Desktop/herdtools7/asllib/splitasl.mll                                           | OCamllex        |         29 |         15 |          8 |         52 |
| /Users/imogen/Desktop/herdtools7/asllib/storage.ml                                             | OCaml           |         55 |         32 |         15 |        102 |
| /Users/imogen/Desktop/herdtools7/asllib/storage.mli                                            | OCaml Interface |         11 |        172 |         14 |        197 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/ASLSemanticsReference.t/run.t                    | Cram Test       |         53 |          0 |          4 |         57 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/asl.t/division.t                                 | Cram Test       |          9 |          0 |          3 |         12 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/asl.t/run.t                                      | Cram Test       |        128 |          0 |         26 |        154 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/asltests.ml                                      | OCaml           |         33 |          2 |          6 |         41 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/bad-types.t                                      | Cram Test       |         58 |          0 |         14 |         72 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/bitvector.ml                                     | OCaml           |        340 |          2 |         16 |        358 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/division.t                                       | Cram Test       |        180 |          0 |         34 |        214 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/helpers.ml                                       | OCaml           |         37 |          0 |          5 |         42 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/static.ml                                        | OCaml           |        115 |          0 |         18 |        133 |
| /Users/imogen/Desktop/herdtools7/asllib/tests/types.ml                                         | OCaml           |        139 |         11 |         35 |        185 |
| /Users/imogen/Desktop/herdtools7/asllib/types.ml                                               | OCaml           |        523 |        208 |         62 |        793 |
| /Users/imogen/Desktop/herdtools7/asllib/types.mli                                              | OCaml Interface |         29 |         87 |         34 |        150 |
| /Users/imogen/Desktop/herdtools7/catalogue/aarch64-ETS2/cfgs/new-web.cfg                       | Properties      |         27 |          0 |          2 |         29 |
