Date : 2023-10-19 11:07:50
Directory : /Users/imogen/Desktop/herdtools7
Total : 1604 files,  150632 codes, 24957 comments, 24104 blanks, all 199693 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/imogen/Desktop/herdtools7/gen/code.mli                                                  | OCaml Interface |         48 |         26 |         28 |        102 |
| /Users/imogen/Desktop/herdtools7/gen/compileCommon.ml                                          | OCaml           |         66 |         19 |         14 |         99 |
| /Users/imogen/Desktop/herdtools7/gen/config.ml                                                 | OCaml           |        334 |         17 |         25 |        376 |
| /Users/imogen/Desktop/herdtools7/gen/critical.ml                                               | OCaml           |        124 |         25 |         20 |        169 |
| /Users/imogen/Desktop/herdtools7/gen/cycle.ml                                                  | OCaml           |      1,135 |         85 |        191 |      1,411 |
| /Users/imogen/Desktop/herdtools7/gen/debug_gen.ml                                              | OCaml           |         29 |         16 |          6 |         51 |
| /Users/imogen/Desktop/herdtools7/gen/debug_gen.mli                                             | OCaml Interface |         10 |         16 |          4 |         30 |
| /Users/imogen/Desktop/herdtools7/gen/dep.ml                                                    | OCaml           |         20 |         16 |          9 |         45 |
| /Users/imogen/Desktop/herdtools7/gen/dep.mli                                                   | OCaml Interface |         11 |         19 |          6 |         36 |
| /Users/imogen/Desktop/herdtools7/gen/diy.ml                                                    | OCaml           |        283 |         17 |         39 |        339 |
| /Users/imogen/Desktop/herdtools7/gen/diycross.ml                                               | OCaml           |        206 |         21 |         33 |        260 |
| /Users/imogen/Desktop/herdtools7/gen/diyone.ml                                                 | OCaml           |        266 |         20 |         25 |        311 |
| /Users/imogen/Desktop/herdtools7/gen/dumpAll.ml                                                | OCaml           |        351 |         50 |         59 |        460 |
| /Users/imogen/Desktop/herdtools7/gen/dumpAll.mli                                               | OCaml Interface |         32 |         23 |         13 |         68 |
| /Users/imogen/Desktop/herdtools7/gen/edge.ml                                                   | OCaml           |        877 |         82 |        191 |      1,150 |
| /Users/imogen/Desktop/herdtools7/gen/exch.ml                                                   | OCaml           |         37 |         16 |         10 |         63 |
| /Users/imogen/Desktop/herdtools7/gen/exch.mli                                                  | OCaml Interface |          4 |         18 |          4 |         26 |
| /Users/imogen/Desktop/herdtools7/gen/fence.mli                                                 | OCaml Interface |         38 |         23 |         18 |         79 |
| /Users/imogen/Desktop/herdtools7/gen/final.ml                                                  | OCaml           |        257 |         38 |         46 |        341 |
| /Users/imogen/Desktop/herdtools7/gen/genUtils.ml                                               | OCaml           |         90 |         16 |         20 |        126 |
| /Users/imogen/Desktop/herdtools7/gen/genUtils.mli                                              | OCaml Interface |         62 |         15 |         14 |         91 |
| /Users/imogen/Desktop/herdtools7/gen/lexConf_gen.mll                                           | OCamllex        |         19 |         15 |          6 |         40 |
| /Users/imogen/Desktop/herdtools7/gen/lexLog_gen.mll                                            | OCamllex        |         38 |         15 |          8 |         61 |
| /Users/imogen/Desktop/herdtools7/gen/lexUtil.mli                                               | OCaml Interface |          7 |         15 |          4 |         26 |
| /Users/imogen/Desktop/herdtools7/gen/lexUtil.mll                                               | OCamllex        |         38 |         15 |         11 |         64 |
| /Users/imogen/Desktop/herdtools7/gen/libdir/forbidden.conf                                     | Properties      |          5 |         45 |          6 |         56 |
| /Users/imogen/Desktop/herdtools7/gen/lineUtils.ml                                              | OCaml           |         34 |         16 |          6 |         56 |
| /Users/imogen/Desktop/herdtools7/gen/logRelax.ml                                               | OCaml           |         53 |         15 |         14 |         82 |
| /Users/imogen/Desktop/herdtools7/gen/machAtom.ml                                               | OCaml           |         67 |         20 |         30 |        117 |
| /Users/imogen/Desktop/herdtools7/gen/machAtom.mli                                              | OCaml Interface |         10 |         16 |          4 |         30 |
| /Users/imogen/Desktop/herdtools7/gen/machMixed.ml                                              | OCaml           |         92 |         19 |         27 |        138 |
| /Users/imogen/Desktop/herdtools7/gen/machMixed.mli                                             | OCaml Interface |         38 |         16 |         15 |         69 |
| /Users/imogen/Desktop/herdtools7/gen/mexpand.ml                                                | OCaml           |         62 |         16 |         13 |         91 |
| /Users/imogen/Desktop/herdtools7/gen/namer.ml                                                  | OCaml           |        172 |         18 |         25 |        215 |
| /Users/imogen/Desktop/herdtools7/gen/nexts.ml                                                  | OCaml           |         90 |         16 |         14 |        120 |
| /Users/imogen/Desktop/herdtools7/gen/noEdge.ml                                                 | OCaml           |          7 |         15 |          3 |         25 |
| /Users/imogen/Desktop/herdtools7/gen/noEdge.mli                                                | OCaml Interface |          1 |         15 |          2 |         18 |
| /Users/imogen/Desktop/herdtools7/gen/noInfo.ml                                                 | OCaml           |          1 |         16 |          2 |         19 |
| /Users/imogen/Desktop/herdtools7/gen/noMixed.ml                                                | OCaml           |          4 |         16 |          2 |         22 |
| /Users/imogen/Desktop/herdtools7/gen/noMixed.mli                                               | OCaml Interface |          4 |         16 |          2 |         22 |
| /Users/imogen/Desktop/herdtools7/gen/noRmw.ml                                                  | OCaml           |         11 |         16 |          4 |         31 |
| /Users/imogen/Desktop/herdtools7/gen/noRmw.mli                                                 | OCaml Interface |          4 |         16 |          3 |         23 |
| /Users/imogen/Desktop/herdtools7/gen/noSIMD.ml                                                 | OCaml           |          6 |         15 |          3 |         24 |
| /Users/imogen/Desktop/herdtools7/gen/noSIMD.mli                                                | OCaml Interface |          1 |         15 |          2 |         18 |
| /Users/imogen/Desktop/herdtools7/gen/noSpecial.ml                                              | OCaml           |          2 |         16 |          3 |         21 |
| /Users/imogen/Desktop/herdtools7/gen/noSpecial.mli                                             | OCaml Interface |          2 |         16 |          3 |         21 |
| /Users/imogen/Desktop/herdtools7/gen/noWide.ml                                                 | OCaml           |          2 |         15 |          2 |         19 |
| /Users/imogen/Desktop/herdtools7/gen/norm.ml                                                   | OCaml           |        103 |         16 |         14 |        133 |
| /Users/imogen/Desktop/herdtools7/gen/normaliser.ml                                             | OCaml           |        478 |         43 |         71 |        592 |
| /Users/imogen/Desktop/herdtools7/gen/pteVal_gen.ml                                             | OCaml           |         16 |         15 |          5 |         36 |
| /Users/imogen/Desktop/herdtools7/gen/readRelax.ml                                              | OCaml           |        150 |         16 |         31 |        197 |
| /Users/imogen/Desktop/herdtools7/gen/relax.ml                                                  | OCaml           |        399 |         56 |        102 |        557 |
| /Users/imogen/Desktop/herdtools7/gen/rmw.mli                                                   | OCaml Interface |         11 |         17 |          4 |         32 |
| /Users/imogen/Desktop/herdtools7/gen/run_gen.ml                                                | OCaml           |        274 |         27 |         49 |        350 |
| /Users/imogen/Desktop/herdtools7/gen/scope.ml                                                  | OCaml           |         40 |         16 |          6 |         62 |
| /Users/imogen/Desktop/herdtools7/gen/scope.mli                                                 | OCaml Interface |          8 |         16 |          5 |         29 |
| /Users/imogen/Desktop/herdtools7/gen/scopeGen.ml                                               | OCaml           |         99 |         21 |         24 |        144 |
| /Users/imogen/Desktop/herdtools7/gen/showGen.ml                                                | OCaml           |          6 |         15 |          3 |         24 |
| /Users/imogen/Desktop/herdtools7/gen/showGen.mli                                               | OCaml Interface |          2 |         17 |          4 |         23 |
| /Users/imogen/Desktop/herdtools7/gen/topUtils.ml                                               | OCaml           |        237 |         39 |         41 |        317 |
| /Users/imogen/Desktop/herdtools7/gen/top_gen.ml                                                | OCaml           |        883 |         46 |         91 |      1,020 |
| /Users/imogen/Desktop/herdtools7/gen/typBase.ml                                                | OCaml           |         70 |         16 |         14 |        100 |
| /Users/imogen/Desktop/herdtools7/gen/typBase.mli                                               | OCaml Interface |         11 |         16 |         10 |         37 |
| /Users/imogen/Desktop/herdtools7/gen/util.ml                                                   | OCaml           |         40 |         15 |          8 |         63 |
| /Users/imogen/Desktop/herdtools7/gen/util.mli                                                  | OCaml Interface |         11 |         15 |          8 |         34 |
| /Users/imogen/Desktop/herdtools7/gen/varAtomic.ml                                              | OCaml           |         89 |         22 |         20 |        131 |
| /Users/imogen/Desktop/herdtools7/gen/variant_gen.ml                                            | OCaml           |         55 |         27 |          6 |         88 |
| /Users/imogen/Desktop/herdtools7/gen/variant_gen.mli                                           | OCaml Interface |         20 |         29 |          6 |         55 |
| /Users/imogen/Desktop/herdtools7/herd-www/Makefile                                             | Makefile        |         50 |          1 |         11 |         62 |
| /Users/imogen/Desktop/herdtools7/herd-www/README.md                                            | Markdown        |         35 |          0 |         16 |         51 |
| /Users/imogen/Desktop/herdtools7/herd-www/cat.css                                              | CSS             |         12 |          0 |          2 |         14 |
| /Users/imogen/Desktop/herdtools7/herd-www/catalogue_to_json.py                                 | Python          |         17 |          1 |          4 |         22 |
| /Users/imogen/Desktop/herdtools7/herd-www/generate_includes.ml                                 | OCaml           |         94 |          0 |         13 |        107 |
| /Users/imogen/Desktop/herdtools7/herd-www/generate_includes.py                                 | Python          |         51 |          1 |         14 |         66 |
| /Users/imogen/Desktop/herdtools7/herd-www/generate_names.ml                                    | OCaml           |         94 |          0 |         13 |        107 |
| /Users/imogen/Desktop/herdtools7/herd-www/jerd.ml                                              | OCaml           |        268 |         24 |         34 |        326 |
| /Users/imogen/Desktop/herdtools7/herd-www/webInput.ml                                          | OCaml           |         51 |         15 |         15 |         81 |
| /Users/imogen/Desktop/herdtools7/herd-www/webInput.mli                                         | OCaml Interface |          6 |         18 |          4 |         28 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/BS/bootstrap-theme.min.css                       | CSS             |          1 |          4 |          0 |          5 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/BS/bootstrap.min.css                             | CSS             |          1 |          5 |          0 |          6 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/BS/bootstrap.min.js                              | JavaScript      |          1 |          5 |          0 |          6 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/BS/jquery.min.js                                 | JavaScript      |          1 |          1 |          1 |          3 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/Blob.min.js                                      | JavaScript      |          1 |          1 |          0 |          2 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/FileSaver.min.js                                 | JavaScript      |          1 |          1 |          0 |          2 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ace.js                                       | JavaScript      |         16 |          0 |          1 |         17 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-beautify.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-elastic_tabstops_lite.js                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-emmet.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-error_marker.js                          | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-keybinding_menu.js                       | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-language_tools.js                        | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-linking.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-modelist.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-options.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-prompt.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-rtl.js                                   | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-searchbox.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-settings_menu.js                         | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-spellcheck.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-split.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-static_highlight.js                      | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-statusbar.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-textarea.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-themelist.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/ext-whitespace.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/keybinding-emacs.js                          | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/keybinding-sublime.js                        | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/keybinding-vim.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-abap.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-abc.js                                  | JavaScript      |          1 |          7 |          0 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-actionscript.js                         | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-ada.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-apache_conf.js                          | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-apex.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-applescript.js                          | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-aql.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-asciidoc.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-asl.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-assembly_x86.js                         | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-autohotkey.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-batchfile.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-bro.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-c9search.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-c_cpp.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-cirru.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-clojure.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-cobol.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-coffee.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-coldfusion.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-crystal.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-csharp.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-csound_document.js                      | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-csound_orchestra.js                     | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-csound_score.js                         | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-csp.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-css.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-curly.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-d.js                                    | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-dart.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-diff.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-django.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-dockerfile.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-dot.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-drools.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-edifact.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-eiffel.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-ejs.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-elixir.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-elm.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-erlang.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-forth.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-fortran.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-fsharp.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-fsl.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-ftl.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-gcode.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-gherkin.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-gitignore.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-glsl.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-gobstones.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-golang.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-graphqlschema.js                        | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-groovy.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-haml.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-handlebars.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-haskell.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-haskell_cabal.js                        | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-haxe.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-hjson.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-html.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-html_elixir.js                          | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-html_ruby.js                            | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-ini.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-io.js                                   | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-jack.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-jade.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-java.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-javascript.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-json.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-jsoniq.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-jsp.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-jssm.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-jsx.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-julia.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-kotlin.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-latex.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-less.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-liquid.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-lisp.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-livescript.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-logiql.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-logtalk.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-lsl.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-lua.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-luapage.js                              | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-lucene.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-makefile.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-markdown.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-mask.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-matlab.js                               | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-maze.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-mel.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-mixal.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-mushcode.js                             | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-mysql.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-nginx.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-nim.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-nix.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-nsis.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-objectivec.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-ocaml.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-pascal.js                               | JavaScript      |          1 |          7 |          0 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-perl.js                                 | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-perl6.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-pgsql.js                                | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-php.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-php_laravel_blade.js                    | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-pig.js                                  | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-plain_text.js                           | JavaScript      |          7 |          0 |          1 |          8 |
| /Users/imogen/Desktop/herdtools7/herd-www/www/ace/mode-powershell.js                           | JavaScript      |          7 |          0 |          1 |          8 |
